Series,Part No.,Max Speed (MHz),Memory (Bytes),,I/O,Timer,,,,,,,Connectivity,,,,,,,,,,,,,,,,,,,EXMC,EXMC/SDRAM,Analog Interface,,Package,Core
,GD32F330C8T6,84,64K,8K,up to 39,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M4
,GD32F330CBT6,84,128K,16K,up to 39,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M4
,GD32F330R8T6,84,64K,16K,up to 55,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M4
,GD32F330RBT6,84,128K,16K,up to 55,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M4
GD32F350,GD32F350G4U6,108,16K,4K,up to 24,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN28,Cortex-M4
,GD32F350G6U6,108,32K,6K,up to 24,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN28,Cortex-M4
,GD32F350G8U6,108,64K,8K,up to 24,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN28,Cortex-M4
,GD32F350K4U6,108,16K,4K,up to 27,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN32,Cortex-M4
,GD32F350K6U6,108,32K,6K,up to 27,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN32,Cortex-M4
,GD32F350K8U6,108,64K,8K,up to 27,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,QFN32,Cortex-M4
,GD32F350C4T6,108,16K,4K,up to 39,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350C6T6,108,32K,6K,up to 39,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350C8T6,108,64K,8K,up to 39,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350CBT6,108,128K,16K,up to 39,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(10),1,LQFP48,Cortex-M4
,GD32F350R4T6,108,16K,4K,up to 55,1,5,1,1,1,2,1,1,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
,GD32F350R6T6,108,32K,8K,up to 55,1,5,1,1,1,2,1,2,1,1,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
,GD32F350R8T6,108,64K,16K,up to 55,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
,GD32F350RBT6,108,128K,16K,up to 55,1,5,1,1,1,2,1,2,2,2,,OTG,1,,,,,2,,1,,,,,,,,,1(16),1,LQFP64,Cortex-M4
GD32F450,GD32F450VET6,200,512K,256K,up to 82,2,8,2,2,,2,1,4+4,3,5,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F450VGT6,200,1024K,256K,up to 82,2,8,2,2,,2,1,4+4,3,5,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F450VIT6,200,2048K,512K,up to 82,2,8,2,2,,2,1,4+4,3,5,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F450VKT6,200,3072K,256K,up to 82,2,8,2,2,,2,1,4+4,3,5,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F450ZET6,200,512K,256K,up to 114,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,LQFP144,Cortex-M4F
,GD32F450ZGT6,200,1024K,256K,up to 114,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,LQFP144,Cortex-M4F
,GD32F450ZIT6,200,2048K,512K,up to 114,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,LQFP144,Cortex-M4F
,GD32F450ZKT6,200,3072K,256K,up to 114,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,LQFP144,Cortex-M4F
,GD32F450IGH6,200,1024K,256K,up to 140,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,BGA176,Cortex-M4F
,GD32F450IIH6,200,2048K,512K,up to 140,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,BGA176,Cortex-M4F
,GD32F450IKH6,200,3072K,256K,up to 140,2,8,2,2,,2,1,4+4,3,6,2,FS+HS OTG,2,1,,,,,,,1,,1,1,,1,,1/1,3(24),2,BGA176,Cortex-M4F
GD32F405,GD32F405RET6,168,512K,192K,up to 51,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,LQFP64,Cortex-M4F
,GD32F405RGT6,168,1024K,192K,up to 51,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,LQFP64,Cortex-M4F
,GD32F405RKT6,168,3072K,192K,up to 51,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,LQFP64,Cortex-M4F
,GD32F405VGT6,168,1024K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,LQFP100,Cortex-M4F
,GD32F405VKT6,168,3072K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,LQFP100,Cortex-M4F
,GD32F405VGH6,168,1024K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,BGA100,Cortex-M4F
,GD32F405VKH6,168,3072K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(16),2,BGA100,Cortex-M4F
,GD32F405ZGT6,168,1024K,192K,up to 114,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(24),2,LQFP144,Cortex-M4F
,GD32F405ZKT6,168,3072K,192K,up to 114,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,,,,,,3(24),2,LQFP144,Cortex-M4F
GD32F407,GD32F407RET6,168,512K,192K,up to 51,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,,3(16),2,LQFP64,Cortex-M4F
,GD32F407RGT6,168,1024K,192K,up to 51,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,,3(16),2,LQFP64,Cortex-M4F
,GD32F407RKT6,168,3072K,192K,up to 51,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,,3(16),2,LQFP64,Cortex-M4F
,GD32F407VET6,168,512K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F407VGT6,168,1024K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F407VKT6,168,3072K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F407VEH6,168,512K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F407VGH6,168,1024K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F407VKH6,168,3072K,192K,up to 82,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F407ZET6,168,512K,192K,up to 114,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/1,3(24),2,LQFP144,Cortex-M4F
,GD32F407ZGT6,168,1024K,192K,up to 114,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/1,3(24),2,LQFP144,Cortex-M4F
GD32F407,GD32F407ZKT6,168,3072K,192K,up to 114,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/1,3(24),2,LQFP144,Cortex-M4F
,GD32F407IEH6,168,512K,192K,up to 140,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/1,3(24),2,BGA176,Cortex-M4F
,GD32F407IGH6,168,1024K,192K,up to 140,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/1,3(24),2,BGA176,Cortex-M4F
,GD32F407IKH6,168,3072K,192K,up to 140,2,8,2,2,,2,1,4+2,3,3,2,FS+HS OTG,2,1,,,,,,,,,1,1,,,,1/1,3(24),2,BGA176,Cortex-M4F
GD32F403,GD32F403RCT6,168,256K,64K,up to 51,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,0/0,3(16),2,LQFP64,Cortex-M4F
,GD32F403RET6,168,512K,96K,up to 51,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,0/0,3(16),2,LQFP64,Cortex-M4F
,GD32F403RGT6,168,1024K,128K,up to 51,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,0/0,3(16),2,LQFP64,Cortex-M4F
,GD32F403RIT6,168,2048K,128K,up to 51,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,0/0,3(16),2,LQFP64,Cortex-M4F
,GD32F403RKT6,168,3072K,128K,up to 51,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,0/0,3(16),2,LQFP64,Cortex-M4F
,GD32F403VCT6,168,256K,64K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F403VET6,168,512K,96K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F403VGT6,168,1024K,128K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F403VIT6,168,2048K,128K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F403VKT6,168,3072K,128K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,LQFP100,Cortex-M4F
,GD32F403VCH6,168,256K,64K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F403VEH6,168,512K,96K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F403VGH6,168,1024K,128K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F403VIH6,168,2048K,128K,up to 80,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F403VKH6,168,3072K,128K,up to 81,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(16),2,BGA100,Cortex-M4F
,GD32F403ZCT6,168,256K,64K,up to 112,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(21),2,LQFP144,Cortex-M4F
,GD32F403ZET6,168,512K,96K,up to 112,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(21),2,LQFP144,Cortex-M4F
,GD32F403ZGT6,168,1024K,128K,up to 112,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(21),2,LQFP144,Cortex-M4F
,GD32F403ZIT6,168,2048K,128K,up to 112,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(21),2,LQFP144,Cortex-M4F
,GD32F403ZKT6,168,3072K,128K,up to 112,,8,2,2,,2,1,3+2,2,3,2,OTG,2,1,,,,,,,,,,,,,,1/0,3(21),2,LQFP144,Cortex-M4F
GD32F205,GD32F205RCT6,120,256K,128K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M3
,GD32F205RET6,120,512K,128K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M3
,GD32F205RGT6,120,1024K,256K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M3
,GD32F205RKT6,120,3072K,256K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,,,,,,,3(16),2,LQFP64,Cortex-M3
,GD32F205VCT6,120,256K,128K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F205VET6,120,512K,128K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F205VGT6,120,1024K,256K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F205VKT6,120,3072K,256K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F205ZCT6,120,256K,128K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F205ZET6,120,512K,128K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F205ZGT6,120,1024K,256K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F205ZKT6,120,3072K,256K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,,,,,,1/1,3(24),2,LQFP144,Cortex-M3
GD32F207,GD32F207RCT6,120,256K,128K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,1,1,1,,,,3(16),2,LQFP64,Cortex-M3
,GD32F207RET6,120,512K,128K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,1,1,1,,,,3(16),2,LQFP64,Cortex-M3
,GD32F207RGT6,120,1024K,256K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,1,1,1,,,,3(16),2,LQFP64,Cortex-M3
,GD32F207RKT6,120,3072K,256K,up to 51,,10,2,2,1,2,1,4+2,3,3,2,OTG,2,1,,,,,,,,,1,1,1,,,,3(16),2,LQFP64,Cortex-M3
,GD32F207VCT6,120,256K,128K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F207VET6,120,512K,128K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F207VGT6,120,1024K,256K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F207VKT6,120,3072K,256K,up to 82,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/0,3(16),2,LQFP100,Cortex-M3
,GD32F207ZCT6,120,256K,128K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F207ZET6,120,512K,128K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F207ZGT6,120,1024K,256K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F207ZKT6,120,3072K,256K,up to 114,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP144,Cortex-M3
,GD32F207IET6,120,512K,128K,up to 140,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP176,Cortex-M3
,GD32F207IGT6,120,1024K,256K,up to 140,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP176,Cortex-M3
,GD32F207IKT6,120,3072K,256K,up to 140,,10,2,2,1,2,1,4+4,3,3,2,OTG,2,1,,,,,,,1,,1,1,1,,,1/1,3(24),2,LQFP176,Cortex-M3
GD32F130,GD32F130F4P6,48,16K,4K,up to 15,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(9),,TSSOP20,Cortex-M3
,GD32F130F6P6,48,32K,4K,up to 15,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(9),,TSSOP20,Cortex-M3
,GD32F130F8P6,48,64K,8K,up to 15,1,4,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(9),,TSSOP20,Cortex-M3
,GD32F130G4U6,48,16K,4K,up to 23,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN28,Cortex-M3
,GD32F130G6U6,48,32K,4K,up to 23,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN28,Cortex-M3
,GD32F130G8U6,48,64K,8K,up to 23,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,QFN28,Cortex-M3
,GD32F130K4U6,48,16K,4K,up to 27,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN32,Cortex-M3
,GD32F130K6U6,48,32K,4K,up to 27,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,QFN32,Cortex-M3
,GD32F130K8U6,48,64K,8K,up to 27,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,QFN32,Cortex-M3
,GD32F130K4T6,48,16K,4K,up to 25,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP32,Cortex-M3
,GD32F130K6T6,48,32K,4K,up to 25,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP32,Cortex-M3
,GD32F130K8T6,48,64K,8K,up to 25,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP32,Cortex-M3
,GD32F130C4T6,48,16K,4K,up to 39,1,4,1,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F130C6T6,48,32K,4K,up to 39,1,4,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F130C8T6,48,64K,8K,up to 39,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(10),,LQFP48,Cortex-M3
,GD32F130R8T6,48,64K,8K,up to 55,1,5,1,,1,2,1,2,2,2,,,,,,,,,,,,,,,,,,,1(16),,LQFP64,Cortex-M3
GD32F150,GD32F150G4U6,72,16K,4K,up to 24,1,5,1,1,1,2,1,1,1,1,,1,1,,,,,,,1,,,,,,,,,1(10),1,QFN28,Cortex-M3
,GD32F150G6U6,72,32K,6K,up to 24,1,5,1,1,1,2,1,2,1,1,,1,1,,,,,,,1,,,,,,,,,1(10),1,QFN28,Cortex-M3
,GD32F150G8U6,72,64K,8K,up to 24,1,5,1,1,1,2,1,2,2,2,,1,1,,,,,,,1,,,,,,,,,1(10),1,QFN28,Cortex-M3
